,time_stamp,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,humidity,Source,sensor_index,Dato Sinaica,PRS,RH,TOUT,US EPA
0,2022-12-03 18:00:00,36.7,37.2,36.2,47.086,47.962,46.21,69.226,santaCatarina,39285.0,26.38,707.5,84.0,18.18,34.99488208759999
1,2022-12-03 19:00:00,36.6,37.1,36.0,46.6945,47.459,45.93,75.883,santaCatarina,39285.0,25.31,707.8,88.0,17.69,33.888794826274996
2,2022-12-03 20:00:00,27.5,27.9,27.0,39.6775,40.361,38.994,75.425,santaCatarina,39285.0,18.72,708.1,87.0,17.94,25.069499981875005
3,2022-12-03 22:00:00,27.2,27.6,26.8,39.335,40.019,38.651,80.725,santaCatarina,39285.0,17.79,708.6,91.0,17.59,24.213263147500005
4,2022-12-03 23:00:00,24.2,24.7,23.8,36.384,37.111,35.657,76.758,santaCatarina,39285.0,16.81,708.6,88.0,17.92,21.2414848736
5,2022-12-04 00:00:00,22.5,23.1,21.9,34.7275,35.647,33.808,76.233,santaCatarina,39285.0,15.47,708.5,89.0,17.75,19.526608156875
6,2022-12-05 12:00:00,28.7,29.2,28.1,41.2355,42.052,40.419,36.333,santaCatarina,39285.0,32.99,701.0,56.0,23.74,30.294746529275006
7,2022-12-05 14:00:00,57.3,57.8,56.9,66.163,67.16,65.166,36.5,santaCatarina,39285.0,60.6,699.4,57.0,25.06,54.607817999999995
8,2022-12-05 15:00:00,66.5,67.2,65.8,76.8805,78.138,75.623,37.966,santaCatarina,39285.0,66.83,698.9,59.0,25.07,62.905403799999995
9,2022-12-05 17:00:00,53.9,54.4,53.4,62.4745,63.632,61.317,50.767,santaCatarina,39285.0,46.45,698.9,69.0,23.28,50.478841599999996
10,2022-12-07 13:00:00,39.3,39.8,38.9,48.8005,49.451,48.15,60.567,santaCatarina,39285.0,29.43,704.8,79.0,20.73,38.11949338327501
11,2022-12-07 14:00:00,45.9,46.3,45.4,53.3535,54.093,52.614,61.433,santaCatarina,39285.0,33.65,704.3,78.0,20.76,42.3903264
12,2022-12-07 18:00:00,24.1,24.7,23.5,36.5195,37.535,35.504,56.7,santaCatarina,39285.0,20.32,704.3,70.0,21.46,23.117642331275
13,2022-12-07 19:00:00,22.1,22.8,21.4,34.572,35.604,33.54,56.567,santaCatarina,39285.0,19.32,704.6,71.0,21.31,21.060280310400003
14,2022-12-07 20:00:00,22.4,23.0,21.7,34.7045,35.603,33.806,58.166,santaCatarina,39285.0,19.89,704.9,72.0,20.8,21.060050695275002
15,2022-12-11 19:00:00,29.8,30.4,29.2,41.85,42.766,40.934,55.858,santaCatarina,39285.0,26.66,701.7,69.0,20.62,29.361025150000003
16,2022-12-13 16:00:00,10.5,10.9,10.0,17.509,18.235,16.783,13.167,santaCatarina,39285.0,16.93,693.2,10.0,29.74,13.7897206
17,2022-12-13 17:00:00,10.2,10.6,9.7,16.8725,17.559,16.186,14.733,santaCatarina,39285.0,15.87,693.3,11.0,28.49,13.3212054
18,2022-12-13 18:00:00,10.7,11.4,10.0,17.3675,18.429,16.306,16.334,santaCatarina,39285.0,19.25,693.7,11.0,26.43,13.442579199999999
19,2022-12-14 09:00:00,6.4,6.8,6.0,10.476,11.168,9.784,36.7,santaCatarina,39285.0,12.73,699.2,45.0,15.61,8.075884
20,2022-12-14 15:00:00,6.1,6.4,5.7,9.935,10.48,9.39,18.733,santaCatarina,39285.0,11.45,697.8,29.0,19.77,9.341155400000002
21,2022-12-14 19:00:00,10.4,10.9,10.0,17.9605,18.874,17.047,26.534,santaCatarina,39285.0,18.82,699.5,34.0,17.49,12.874071200000001
22,2022-12-14 20:00:00,12.1,12.6,11.7,21.0865,21.894,20.279,30.133,santaCatarina,39285.0,20.39,699.9,38.0,16.64,14.2018614
23,2022-12-19 16:00:00,45.2,45.8,44.5,53.323,54.296,52.35,43.967,santaCatarina,39285.0,50.0,701.5,62.0,18.95,43.871922600000005
24,2022-12-20 16:00:00,8.1,8.5,7.7,13.2785,13.804,12.753,19.966,santaCatarina,39285.0,12.0,706.5,28.0,21.64,10.9868648
25,2022-12-20 18:00:00,9.2,9.7,8.7,15.456,16.274,14.638,36.4,santaCatarina,39285.0,13.0,706.8,45.0,18.38,10.711264
26,2022-12-20 19:00:00,7.1,7.4,6.7,11.549,12.063,11.035,42.1,santaCatarina,39285.0,11.0,707.1,51.0,17.03,8.172656
27,2022-12-20 20:00:00,7.6,8.0,7.2,12.4865,13.107,11.866,43.4,santaCatarina,39285.0,11.0,707.6,53.0,16.2,8.551846
28,2022-12-20 22:00:00,9.6,10.1,9.2,16.1175,16.956,15.279,48.833,santaCatarina,39285.0,13.0,708.2,60.0,14.68,9.9861654
29,2022-12-20 23:00:00,9.5,9.9,9.2,16.0475,16.692,15.403,50.6,santaCatarina,39285.0,12.0,708.2,62.0,13.98,9.79717
30,2022-12-21 11:00:00,21.0,20.5,21.6,35.1915,36.333,34.05,66.4,santaCatarina,39285.0,19.0,706.1,85.0,9.94,20.859992406474998
31,2022-12-22 18:00:00,19.1,19.7,18.5,31.732,32.8,30.664,28.0,santaCatarina,39285.0,27.0,700.2,35.0,23.48,20.683941694400005
32,2022-12-23 09:00:00,7.8,7.2,8.5,16.261,16.854,15.668,56.6,santaCatarina,39285.0,14.0,713.6,72.0,-2.4,9.391843999999999
33,2022-12-23 10:00:00,9.7,9.1,10.3,20.247,21.442,19.052,53.434,santaCatarina,39285.0,17.0,714.1,69.0,-2.15,11.753417200000001
34,2022-12-23 17:00:00,10.0,9.2,10.8,20.0405,20.937,19.144,35.733,santaCatarina,39285.0,19.0,711.5,44.0,0.24,13.171037400000003
35,2022-12-24 02:00:00,9.2,8.6,9.9,19.24,20.208,18.272,42.633,santaCatarina,39285.0,17.0,712.9,55.0,-1.53,12.1567954
36,2022-12-24 04:00:00,10.7,9.9,11.5,22.177,23.422,20.932,38.0,santaCatarina,39285.0,17.0,712.8,49.0,-1.71,14.095148000000002
37,2022-12-24 05:00:00,7.2,6.8,7.5,14.293,15.261,13.325,35.8,santaCatarina,39285.0,14.0,712.7,47.0,-1.78,10.153572
38,2022-12-24 06:00:00,6.2,5.9,6.5,12.039,12.79,11.288,34.367,santaCatarina,39285.0,12.0,712.8,45.0,-1.79,9.0960006
39,2022-12-24 07:00:00,6.9,6.6,7.2,13.5775,14.617,12.538,34.133,santaCatarina,39285.0,13.0,712.9,45.0,-1.67,9.922345400000001
40,2022-12-24 08:00:00,6.6,6.2,6.9,12.9045,13.81,11.999,30.6,santaCatarina,39285.0,13.0,712.8,39.0,-1.6,9.874238
41,2022-12-27 01:00:00,11.1,11.6,10.6,19.289,20.386,18.192,24.333,santaCatarina,39285.0,17.0,709.2,31.0,12.94,13.759931400000003
42,2022-12-27 12:00:00,11.5,12.1,10.8,19.966,21.133,18.799,17.733,santaCatarina,39285.0,18.0,708.3,28.0,15.81,14.6835994
43,2022-12-27 17:00:00,11.2,11.8,10.6,19.273,20.418,18.128,17.8,santaCatarina,39285.0,17.0,704.0,27.0,17.7,14.314692
44,2022-12-27 18:00:00,8.5,9.2,7.7,14.254,15.458,13.05,23.067,santaCatarina,39285.0,15.0,703.9,31.0,16.26,11.230720600000001
45,2022-12-27 20:00:00,10.4,11.0,9.9,17.596,18.712,16.48,28.033,santaCatarina,39285.0,16.0,704.3,36.0,14.2,12.5538594
46,2022-12-28 18:00:00,8.1,8.7,7.5,13.7835,14.72,12.847,15.4,santaCatarina,39285.0,16.0,697.2,20.0,24.57,11.645074000000001
47,2022-12-29 17:00:00,9.1,9.4,8.8,15.528,16.163,14.893,12.534,santaCatarina,39285.0,18.0,698.7,17.0,23.92,12.8062412
48,2022-12-29 18:00:00,10.6,11.1,10.1,18.347,19.194,17.5,15.034,santaCatarina,39285.0,19.0,699.1,20.0,23.11,14.0678972
49,2022-12-29 19:00:00,10.5,11.1,9.8,18.1135,19.297,16.93,17.767,santaCatarina,39285.0,20.0,699.7,23.0,21.68,13.7099586
50,2022-12-29 20:00:00,9.6,10.1,9.2,16.5505,17.351,15.75,21.2,santaCatarina,39285.0,18.0,700.4,27.0,20.94,12.595022
51,2022-12-29 21:00:00,9.8,10.2,9.3,16.5885,17.278,15.899,26.334,santaCatarina,39285.0,16.0,700.9,33.0,19.69,12.1723832
52,2022-12-29 22:00:00,9.8,10.4,9.1,16.5905,17.587,15.594,31.967,santaCatarina,39285.0,16.0,701.3,40.0,18.54,11.6878666
53,2022-12-29 23:00:00,12.2,12.8,11.5,21.2395,22.501,19.978,33.433,santaCatarina,39285.0,20.0,701.6,43.0,17.55,13.9975734
54,2022-12-30 17:00:00,9.9,10.4,9.3,16.8215,17.684,15.959,20.6,santaCatarina,39285.0,17.0,699.6,28.0,22.14,12.788746000000002
55,2022-12-30 18:00:00,11.0,11.7,10.3,19.0045,20.224,17.785,23.967,santaCatarina,39285.0,18.0,699.9,32.0,21.14,13.6424026
56,2022-12-31 15:00:00,14.7,15.3,14.1,25.2365,26.155,24.318,24.3,santaCatarina,39285.0,19.0,700.2,37.0,23.99,16.879266
57,2023-01-02 11:00:00,7.0,7.5,6.6,11.8105,12.625,10.996,17.3,santaCatarina,39285.0,21.0,698.3,24.0,25.81,10.447442
58,2023-01-02 14:00:00,8.8,9.2,8.4,14.217,15.086,13.348,17.3,santaCatarina,39285.0,14.0,696.5,25.0,27.45,11.708448
59,2023-01-02 15:00:00,9.0,9.4,8.7,14.7665,15.753,13.78,17.267,santaCatarina,39285.0,14.0,695.8,25.0,27.83,11.9992306
60,2023-01-02 17:00:00,5.9,6.3,5.6,9.37,10.073,8.667,17.134,santaCatarina,39285.0,11.0,695.3,24.0,27.93,9.1829292
61,2023-01-02 18:00:00,9.2,9.7,8.8,15.562,16.274,14.85,19.934,santaCatarina,39285.0,16.0,695.5,26.0,26.55,12.1861772
62,2023-01-02 19:00:00,13.0,13.4,12.5,21.423,22.18,20.666,21.733,santaCatarina,39285.0,21.0,696.0,27.0,25.15,15.1022674
63,2023-01-03 12:00:00,7.9,8.3,7.6,13.4735,13.998,12.949,15.5,santaCatarina,39285.0,18.0,699.9,23.0,23.76,11.474014
64,2023-01-03 19:00:00,7.5,8.0,6.9,12.255,13.098,11.412,19.967,santaCatarina,39285.0,15.0,699.0,25.0,23.6,10.4504646
65,2023-01-03 20:00:00,9.1,9.8,8.4,15.161,16.36,13.962,20.767,santaCatarina,39285.0,16.0,700.1,26.0,22.12,11.9042486
66,2023-01-03 21:00:00,7.5,8.1,6.9,12.472,13.449,11.495,20.867,santaCatarina,39285.0,13.0,701.1,26.0,21.05,10.4865926
67,2023-01-03 22:00:00,11.2,11.8,10.7,19.5095,20.393,18.626,22.4,santaCatarina,39285.0,19.0,701.7,29.0,19.76,14.042098
68,2023-01-04 02:00:00,13.0,13.6,12.4,23.2735,24.544,22.003,29.967,santaCatarina,39285.0,28.0,702.6,39.0,15.57,15.3621586
69,2023-01-04 03:00:00,15.3,15.8,14.8,27.5415,28.638,26.445,31.5,santaCatarina,39285.0,37.0,702.5,42.0,14.43,17.466446
70,2023-01-04 04:00:00,12.2,12.8,11.6,21.859,23.063,20.655,32.034,santaCatarina,39285.0,30.0,702.4,42.0,14.28,14.442785200000001
71,2023-01-04 05:00:00,12.1,12.7,11.5,21.467,22.697,20.237,32.834,santaCatarina,39285.0,27.0,702.5,43.0,14.0,14.1684172
72,2023-01-04 09:00:00,15.2,15.9,14.6,26.791,27.892,25.69,29.503,santaCatarina,39285.0,39.0,704.9,36.0,16.57,17.2453254
73,2023-01-04 10:00:00,10.6,11.0,10.1,18.4415,19.268,17.615,20.466,santaCatarina,39285.0,26.0,705.5,27.0,20.11,13.649176800000001
74,2023-01-04 14:00:00,7.5,7.9,7.0,12.562,13.261,11.863,15.834,santaCatarina,39285.0,14.0,703.9,25.0,23.67,10.9675972
75,2023-01-04 15:00:00,7.4,7.8,7.0,12.6395,13.229,12.05,15.966,santaCatarina,39285.0,14.0,703.5,25.0,24.13,10.996828800000001
76,2023-01-04 16:00:00,7.8,8.2,7.4,13.277,13.984,12.57,16.767,santaCatarina,39285.0,15.0,703.2,25.0,24.44,11.2618326
77,2023-01-04 17:00:00,7.0,7.4,6.5,11.842,12.491,11.193,17.6,santaCatarina,39285.0,14.0,703.0,25.0,24.19,10.438088
78,2023-01-04 19:00:00,7.0,7.4,6.6,11.8445,12.539,11.15,24.666,santaCatarina,39285.0,14.0,703.8,32.0,21.14,9.830308800000001
79,2023-01-04 20:00:00,6.7,7.1,6.3,11.1575,11.742,10.573,26.6,santaCatarina,39285.0,13.0,704.6,34.0,20.24,9.30361
80,2023-01-04 21:00:00,6.7,7.1,6.3,11.135,11.773,10.497,28.033,santaCatarina,39285.0,14.0,705.1,36.0,19.65,9.1682954
81,2023-01-05 01:00:00,18.8,19.5,18.2,32.083,33.201,30.965,36.4,santaCatarina,39285.0,45.0,706.3,48.0,15.69,20.2992704459
82,2023-01-05 02:00:00,17.3,17.9,16.7,30.241,31.484,28.998,39.334,santaCatarina,39285.0,36.0,706.3,52.0,14.46,18.301167061100003
83,2023-01-05 16:00:00,19.1,19.6,18.5,31.687,32.587,30.787,18.933,santaCatarina,39285.0,30.0,705.3,27.0,24.86,21.422236593900003
84,2023-01-05 18:00:00,11.0,11.6,10.5,19.093,20.023,18.163,24.2,santaCatarina,39285.0,18.0,705.3,31.0,23.1,13.668692
85,2023-01-05 19:00:00,9.9,10.3,9.5,16.9635,17.712,16.215,27.834,santaCatarina,39285.0,16.0,705.4,34.0,22.01,12.2395832
86,2023-01-05 20:00:00,9.3,9.8,8.8,15.7605,16.567,14.954,30.867,santaCatarina,39285.0,16.0,705.7,38.0,21.39,11.3477666
87,2023-01-05 21:00:00,13.0,13.7,12.3,22.369,23.492,21.246,32.767,santaCatarina,39285.0,20.0,706.1,41.0,20.85,14.6468406
88,2023-01-05 23:00:00,10.2,10.7,9.7,17.37,18.12,16.62,40.133,santaCatarina,39285.0,17.0,706.3,51.0,19.5,11.3924154
89,2023-01-06 00:00:00,10.2,10.7,9.6,17.5715,18.452,16.691,43.466,santaCatarina,39285.0,19.0,706.1,56.0,18.3,11.210696800000001
90,2023-01-06 19:00:00,17.1,17.7,16.4,29.002,29.911,28.093,39.6,santaCatarina,39285.0,23.0,703.2,50.0,21.58,17.533528
91,2023-01-07 16:00:00,18.4,18.8,17.9,30.3125,31.04,29.585,28.2,santaCatarina,39285.0,25.0,702.4,39.0,26.0,19.327001796875003
92,2023-01-07 18:00:00,23.8,24.2,23.5,36.433,37.14,35.726,37.633,santaCatarina,39285.0,27.0,703.2,47.0,24.32,24.6672201059
93,2023-01-07 19:00:00,26.0,26.4,25.6,38.624,39.423,37.825,44.7,santaCatarina,39285.0,30.0,703.6,55.0,22.94,26.499359225600003
94,2023-01-07 20:00:00,30.5,31.2,29.8,42.3585,43.345,41.372,48.733,santaCatarina,39285.0,33.0,704.2,60.0,21.7,30.602755941475003
95,2023-01-07 22:00:00,27.0,27.8,26.2,39.497,40.531,38.463,54.767,santaCatarina,39285.0,29.0,705.6,68.0,19.7,26.6393620179
96,2023-01-07 23:00:00,26.7,27.1,26.3,39.202,39.835,38.569,58.233,santaCatarina,39285.0,26.0,705.9,71.0,18.85,25.997815532399997
97,2023-01-08 01:00:00,31.6,32.3,30.8,43.385,44.347,42.423,59.4,santaCatarina,39285.0,31.0,706.1,77.0,17.34,30.9707377475
98,2023-01-08 03:00:00,29.0,29.6,28.4,41.432,42.283,40.581,60.145,santaCatarina,39285.0,28.0,705.7,77.0,17.03,28.480692174400005
99,2023-01-08 04:00:00,27.3,28.0,26.7,39.836,40.669,39.003,57.5,santaCatarina,39285.0,27.0,705.7,77.0,17.04,26.800496337599995
100,2023-01-08 05:00:00,25.9,26.4,25.3,38.5805,39.332,37.829,57.6,santaCatarina,39285.0,26.0,705.9,75.0,17.33,25.337685741275003
101,2023-01-08 06:00:00,27.3,27.7,26.8,39.871,40.576,39.166,56.9,santaCatarina,39285.0,27.0,706.2,74.0,17.18,26.893346997100007
102,2023-01-08 08:00:00,27.4,28.0,26.9,40.052,40.77,39.334,54.0,santaCatarina,39285.0,29.0,706.9,73.0,17.45,27.3565434224
103,2023-01-08 09:00:00,25.8,26.4,25.2,38.4595,39.236,37.683,52.7,santaCatarina,39285.0,28.0,707.3,72.0,17.58,25.622098637274995
104,2023-01-08 12:00:00,21.3,21.8,20.8,33.6875,34.465,32.91,43.266,santaCatarina,39285.0,26.0,707.9,60.0,19.0,21.300037596875
105,2023-01-08 13:00:00,22.7,23.4,21.9,35.096,36.09,34.102,40.733,santaCatarina,39285.0,26.0,707.2,57.0,19.79,22.972044129599997
106,2023-01-08 14:00:00,21.8,22.3,21.2,34.3065,35.154,33.459,39.6,santaCatarina,39285.0,25.0,706.4,54.0,20.37,22.248492343475
107,2023-01-08 17:00:00,17.6,18.0,17.2,29.17,29.802,28.538,40.066,santaCatarina,39285.0,20.0,705.2,52.0,20.33,17.5813908
108,2023-01-08 18:00:00,21.7,22.1,21.4,33.92,34.636,33.204,42.233,santaCatarina,39285.0,24.0,705.4,53.0,20.02,21.625455240000004
109,2023-01-08 19:00:00,23.9,24.5,23.3,36.384,37.358,35.41,44.834,santaCatarina,39285.0,27.0,705.8,56.0,19.65,23.9933336736
110,2023-01-08 20:00:00,21.4,22.2,20.7,33.959,34.91,33.008,48.5,santaCatarina,39285.0,25.0,706.1,61.0,18.77,21.125028221100003
111,2023-01-08 22:00:00,18.4,19.1,17.8,30.7755,31.777,29.774,52.733,santaCatarina,39285.0,22.0,706.8,65.0,17.78,17.643427243275
112,2023-01-08 23:00:00,15.0,15.4,14.7,25.6005,26.309,24.892,57.8,santaCatarina,39285.0,17.0,706.8,71.0,17.25,14.182302
113,2023-01-09 00:00:00,13.8,14.4,13.2,23.293,24.264,22.322,58.933,santaCatarina,39285.0,15.0,706.6,72.0,16.95,12.8755074
114,2023-01-09 01:00:00,13.3,13.8,12.7,22.346,22.992,21.7,58.8,santaCatarina,39285.0,14.0,706.2,72.0,16.77,12.390744000000002
115,2023-01-09 02:00:00,10.2,10.5,9.8,16.9225,17.395,16.45,57.567,santaCatarina,39285.0,14.0,705.9,71.0,16.88,9.655114600000001
116,2023-01-09 03:00:00,9.5,9.9,9.1,15.881,16.414,15.348,56.2,santaCatarina,39285.0,12.0,705.5,69.0,17.12,9.227204
117,2023-01-09 05:00:00,14.4,14.9,13.9,24.2815,25.005,23.558,60.534,santaCatarina,39285.0,15.0,705.8,76.0,15.35,13.2554752
118,2023-01-09 12:00:00,32.8,33.5,32.1,44.117,44.896,43.338,37.233,santaCatarina,39285.0,34.0,706.6,58.0,20.48,33.8164993259
119,2023-01-09 17:00:00,14.9,15.3,14.5,25.1315,25.758,24.505,41.0,santaCatarina,39285.0,18.0,704.0,56.0,21.43,15.384706
120,2023-01-09 20:00:00,15.0,15.7,14.2,25.659,26.883,24.435,51.742,santaCatarina,39285.0,18.0,705.2,65.0,19.01,14.7351556
121,2023-01-09 21:00:00,19.6,20.2,18.9,31.7,32.566,30.834,54.0,santaCatarina,39285.0,22.0,705.5,69.0,18.28,18.411959000000003
122,2023-01-10 17:00:00,22.4,22.9,21.9,35.0,36.008,33.992,19.758,santaCatarina,39285.0,32.0,701.9,28.0,26.85,24.6793604
123,2023-01-10 18:00:00,12.5,13.0,12.0,21.159,21.842,20.476,22.467,santaCatarina,39285.0,20.0,702.0,29.0,25.51,14.9006606
124,2023-01-13 13:00:00,6.3,6.7,5.9,10.295,10.881,9.709,17.133,santaCatarina,39285.0,11.0,711.0,28.0,16.19,9.6677154
125,2023-01-13 14:00:00,7.4,7.8,7.0,12.335,13.061,11.609,15.033,santaCatarina,39285.0,12.0,709.6,26.0,17.1,10.917695400000001
126,2023-01-13 15:00:00,8.8,9.4,8.3,15.186,15.959,14.413,15.433,santaCatarina,39285.0,14.0,708.7,25.0,17.54,12.3771394
127,2023-01-13 17:00:00,9.4,10.0,8.8,16.3495,17.278,15.421,18.2,santaCatarina,39285.0,16.0,708.1,27.0,17.7,12.748298
128,2023-01-13 18:00:00,8.1,8.6,7.6,13.866,14.66,13.072,22.3,santaCatarina,39285.0,15.0,708.2,29.0,16.7,11.093524
129,2023-01-14 16:00:00,9.6,10.1,9.1,16.307,17.185,15.429,17.133,santaCatarina,39285.0,15.0,703.8,27.0,19.24,12.818003399999998
130,2023-01-14 17:00:00,7.7,8.1,7.2,12.8485,13.538,12.159,19.534,santaCatarina,39285.0,13.0,703.5,29.0,19.32,10.798783199999999
131,2023-01-14 18:00:00,9.1,9.7,8.5,15.379,16.441,14.317,23.522,santaCatarina,39285.0,14.0,703.6,31.0,18.42,11.7809996
132,2023-01-16 19:00:00,10.4,11.0,9.8,17.7785,18.845,16.712,18.367,santaCatarina,39285.0,19.0,696.2,24.0,26.12,13.4826986
133,2023-01-16 23:00:00,16.7,17.4,16.0,28.9395,30.184,27.695,29.483,santaCatarina,39285.0,27.0,697.9,37.0,20.62,18.3728634
134,2023-01-17 11:00:00,16.1,16.7,15.4,27.0595,28.214,25.905,14.767,santaCatarina,39285.0,32.0,697.7,23.0,24.84,18.656262599999998
135,2023-01-17 14:00:00,17.7,18.0,17.3,29.189,30.457,27.921,12.466,santaCatarina,39285.0,28.0,695.2,22.0,27.81,19.9704668
136,2023-01-17 16:00:00,27.0,27.4,26.6,39.0685,40.075,38.062,17.0,santaCatarina,39285.0,36.0,693.9,25.0,27.49,29.397728268475003
137,2023-01-17 17:00:00,23.9,24.7,23.1,37.0655,38.048,36.083,22.491,santaCatarina,39285.0,35.0,693.9,29.0,26.04,26.664308202275002
138,2023-01-17 21:00:00,20.5,21.3,19.8,33.2545,34.389,32.12,35.4,santaCatarina,39285.0,29.0,694.7,45.0,22.21,21.541648690275004
139,2023-01-18 19:00:00,9.8,10.2,9.3,16.4495,17.022,15.877,25.6,santaCatarina,39285.0,17.0,697.9,31.0,23.27,12.162818
140,2023-01-18 20:00:00,11.8,12.2,11.3,19.827,20.4,19.254,29.667,santaCatarina,39285.0,18.0,698.8,36.0,22.43,13.5820526
141,2023-01-18 21:00:00,13.9,14.4,13.3,23.534,24.361,22.707,32.966,santaCatarina,39285.0,20.0,699.5,41.0,21.37,15.2401468
142,2023-01-18 22:00:00,13.4,13.8,12.9,22.7825,23.754,21.811,35.767,santaCatarina,39285.0,20.0,700.0,46.0,20.38,14.604914599999999
143,2023-01-19 00:00:00,19.3,19.8,18.7,32.1,32.998,31.202,40.033,santaCatarina,39285.0,39.0,700.7,52.0,18.01,20.0026264
144,2023-01-19 01:00:00,18.4,19.1,17.7,30.325,31.438,29.212,39.567,santaCatarina,39285.0,37.0,700.7,50.0,17.8,18.358733287499994
145,2023-01-19 02:00:00,20.1,20.9,19.4,33.253,34.399,32.107,42.233,santaCatarina,39285.0,38.0,701.0,56.0,16.84,20.9511407179
146,2023-01-19 03:00:00,23.9,24.5,23.4,37.4955,38.504,36.487,43.934,santaCatarina,39285.0,42.0,701.4,57.0,16.11,25.292253715275002
147,2023-01-20 12:00:00,12.0,12.4,11.7,20.2445,20.957,19.532,21.934,santaCatarina,39285.0,19.0,704.3,35.0,18.62,14.467407199999998
148,2023-01-20 16:00:00,26.6,26.9,26.2,39.5905,40.358,38.823,27.167,santaCatarina,39285.0,37.0,701.3,41.0,20.43,29.127600842274997
149,2023-01-20 17:00:00,23.1,23.6,22.6,36.227,37.102,35.352,31.434,santaCatarina,39285.0,34.0,701.2,43.0,20.08,24.978507629899998
150,2023-01-20 18:00:00,18.4,19.0,17.7,31.013,31.886,30.14,36.575,santaCatarina,39285.0,30.0,701.5,48.0,19.41,19.259598813900006
151,2023-01-20 22:00:00,12.8,13.5,12.2,22.154,23.294,21.014,49.034,santaCatarina,39285.0,20.0,702.4,62.0,16.43,13.1319652
152,2023-01-20 23:00:00,11.7,12.3,11.1,20.2275,21.231,19.224,54.392,santaCatarina,39285.0,19.0,702.3,69.0,15.76,11.6606196
153,2023-01-21 00:00:00,11.0,11.5,10.5,19.008,19.901,18.115,58.466,santaCatarina,39285.0,17.0,702.2,74.0,15.21,10.670422799999999
154,2023-01-21 01:00:00,11.6,12.0,11.3,19.945,20.805,19.085,60.667,santaCatarina,39285.0,18.0,701.7,79.0,14.72,10.9716846
155,2023-01-21 02:00:00,14.2,15.0,13.5,24.407,25.623,23.191,57.467,santaCatarina,39285.0,23.0,701.7,76.0,15.01,13.585612600000001
156,2023-01-21 04:00:00,16.7,17.2,16.1,28.6485,29.669,27.628,55.933,santaCatarina,39285.0,23.0,701.1,75.0,14.92,15.940389399999999
157,2023-01-21 05:00:00,18.4,18.8,18.0,30.9955,31.812,30.179,59.267,santaCatarina,39285.0,24.0,700.8,77.0,14.32,17.287040465275
158,2023-01-21 06:00:00,20.0,20.5,19.5,32.919,33.852,31.986,60.534,santaCatarina,39285.0,27.0,700.8,79.0,13.57,19.040311549099997
159,2023-01-21 13:00:00,38.0,38.8,37.2,47.962,48.748,47.176,32.233,santaCatarina,39285.0,44.0,700.0,50.0,21.27,39.38916751640001
160,2023-01-21 17:00:00,35.0,35.8,34.2,46.1285,47.063,45.194,32.233,santaCatarina,39285.0,45.0,697.7,44.0,22.93,36.889033410475
161,2023-01-22 03:00:00,20.5,21.0,19.9,32.979,33.765,32.193,60.3,santaCatarina,39285.0,23.0,701.2,77.0,15.23,19.120138177100003
162,2023-01-22 04:00:00,20.3,20.9,19.7,32.875,33.701,32.049,56.633,santaCatarina,39285.0,22.0,701.4,74.0,15.36,19.3328900875
163,2023-01-22 14:00:00,9.5,9.8,9.2,15.9765,16.476,15.477,18.7,santaCatarina,39285.0,15.0,701.0,28.0,20.0,12.509746
164,2023-01-22 15:00:00,10.2,10.6,9.8,17.2505,17.884,16.617,19.0,santaCatarina,39285.0,16.0,700.3,29.0,20.4,13.151461999999999
165,2023-01-22 16:00:00,10.1,10.5,9.7,17.2515,17.815,16.688,18.933,santaCatarina,39285.0,16.0,699.8,28.0,20.96,13.157761400000002
166,2023-01-22 18:00:00,10.9,11.2,10.6,18.581,19.221,17.941,27.133,santaCatarina,39285.0,15.0,699.9,35.0,19.66,13.147579400000001
167,2023-01-22 19:00:00,8.8,9.1,8.5,14.728,15.237,14.219,26.867,santaCatarina,39285.0,14.0,700.3,33.0,18.61,11.1515366
168,2023-01-22 21:00:00,6.9,7.3,6.4,11.1165,11.601,10.632,23.3,santaCatarina,39285.0,12.0,701.1,29.0,16.86,9.566586000000001
169,2023-01-22 22:00:00,6.2,6.6,5.8,10.096,10.697,9.495,25.267,santaCatarina,39285.0,10.0,701.2,32.0,16.26,8.8622886
170,2023-01-23 02:00:00,5.6,5.9,5.3,9.1185,9.662,8.575,33.933,santaCatarina,39285.0,10.0,701.4,43.0,14.0,7.603069399999999
171,2023-01-24 01:00:00,39.9,40.3,39.5,49.381,50.367,48.395,68.733,santaCatarina,39285.0,32.0,698.8,89.0,13.19,38.2382558091
172,2023-01-24 02:00:00,40.3,40.7,39.8,50.43,51.668,49.192,68.034,santaCatarina,39285.0,35.0,698.2,89.0,13.12,39.5234492
173,2023-01-24 03:00:00,42.0,42.6,41.4,51.685,52.889,50.481,68.133,santaCatarina,39285.0,36.0,697.4,88.0,13.45,40.501345400000005
174,2023-01-24 07:00:00,41.8,42.3,41.3,51.251,52.12,50.382,70.034,santaCatarina,39285.0,40.0,695.6,88.0,13.41,39.996355199999996
175,2023-01-25 10:00:00,7.1,7.5,6.7,12.0265,12.851,11.202,27.4,santaCatarina,39285.0,15.0,706.5,37.0,12.28,9.690006
176,2023-01-25 11:00:00,10.4,11.1,9.8,18.2485,19.415,17.082,23.1,santaCatarina,39285.0,18.0,706.8,34.0,13.86,13.320994
